v,costs,Choice Prob for Alt. 1,Choice Prob for Top 3 Alt,Mean diff.
1,0.01,0.625,0.917,6.174838937043466
1,0.3,0.804,0.9930000000000001,6.13313958212927
1,0.6,0.864,0.996,6.089125303844801
1,0.9,0.934,1.0,6.147971758060483
1,1.2,0.953,1.0,6.223750207796867
1,1.5,0.976,1.0,6.1520029260227185
2,0.01,0.565,0.9119999999999999,6.8259157348229165
2,0.3,0.738,0.9830000000000001,6.807793128519378
2,0.6,0.829,0.995,6.86909190076853
2,0.9,0.867,0.999,6.848522192610463
2,1.2,0.902,0.999,6.921359742082295
2,1.5,0.932,1.0,6.921197058752568
3,0.01,0.59,0.9149999999999999,7.627675089332491
3,0.3,0.72,0.974,7.462052694672591
3,0.6,0.772,0.9920000000000001,7.5016024121856715
3,0.9,0.822,0.999,7.5505810453013185
3,1.2,0.883,0.998,7.5077418038824675
3,1.5,0.922,1.0,7.53722715906372
4,0.01,0.586,0.9309999999999999,8.221603573778918
4,0.3,0.669,0.977,8.003737063054501
4,0.6,0.765,0.987,8.133166206188692
4,0.9,0.825,0.997,8.057766567374443
4,1.2,0.846,0.997,8.115947197842543
4,1.5,0.892,0.999,8.11471022294778
5,0.01,0.547,0.919,8.73021579383716
5,0.3,0.673,0.978,8.647204780175834
5,0.6,0.731,0.99,8.644151384165028
5,0.9,0.805,0.9940000000000001,8.74169044030683
5,1.2,0.828,0.997,8.636281392641866
5,1.5,0.865,0.996,8.635212842350542
