w,costs,Choice Prob for Alt. 1,Choice Prob for Top 3 Alt,Mean diff.
1,0.01,0.305,0.631,6.185311719233066
1,0.3,0.518,0.885,6.158851437528401
1,0.6,0.627,0.95,6.159094520442059
1,0.9,0.712,0.981,6.286700526401382
1,1.2,0.79,0.996,6.1284617115058335
1,1.5,0.849,0.998,6.14912460488655
2,0.01,0.4,0.7250000000000001,6.885827621440684
2,0.3,0.564,0.9169999999999999,6.938018229485311
2,0.6,0.677,0.97,6.925576220798588
2,0.9,0.744,0.987,6.921947600500171
2,1.2,0.809,0.9980000000000001,6.843209090789587
2,1.5,0.88,0.999,6.897724768449291
3,0.01,0.428,0.765,7.511799271304901
3,0.3,0.595,0.9279999999999999,7.538193333556992
3,0.6,0.701,0.982,7.5810680473019945
3,0.9,0.75,0.991,7.528861997947726
3,1.2,0.849,0.996,7.565298324717325
3,1.5,0.87,0.997,7.4880248814354005
4,0.01,0.457,0.806,8.16054755894874
4,0.3,0.636,0.954,8.14862817246164
4,0.6,0.739,0.9850000000000001,8.056403314870906
4,0.9,0.806,0.9970000000000001,8.183482479989138
4,1.2,0.856,0.997,8.195427089502104
4,1.5,0.88,1.0,8.036036834518955
5,0.01,0.494,0.849,8.697921579529767
5,0.3,0.634,0.96,8.659584902380917
5,0.6,0.762,0.9860000000000001,8.852774657176253
5,0.9,0.815,0.996,8.727921941525532
5,1.2,0.866,0.998,8.683750997758404
5,1.5,0.895,1.0,8.742282232380791
