w,v_var_ratio,Choice Prob for Alt. 1,Choice Prob for Top 3 Alt,Mean diff.
0.5,0.5,0.527,0.867,2.6987529334437332
0.5,1.0,0.415,0.762,3.0929291058308612
0.5,2.0,0.359,0.702,3.716716344909572
0.5,3.0,0.351,0.704,4.380430296479845
0.5,4.0,0.348,0.731,4.790354898755526
0.5,5.0,0.387,0.764,5.36048931097384
1.0,0.5,0.559,0.874,3.815521635400011
1.0,1.0,0.478,0.815,4.3661902546083455
1.0,2.0,0.422,0.818,5.270531666740126
1.0,3.0,0.473,0.851,6.173524995570513
1.0,4.0,0.469,0.839,6.933904852090216
1.0,5.0,0.473,0.869,7.636943619775054
2.0,0.5,0.538,0.893,5.305151646806574
2.0,1.0,0.525,0.873,6.156368234482995
2.0,2.0,0.567,0.8929999999999999,7.510329505375131
2.0,3.0,0.541,0.912,8.601047384344934
2.0,4.0,0.54,0.891,9.666473238883999
2.0,5.0,0.559,0.896,10.672894130896712
3.0,0.5,0.583,0.9149999999999999,6.461216715448538
3.0,1.0,0.566,0.9169999999999999,7.59192785048782
3.0,2.0,0.578,0.9189999999999999,9.18092295029849
3.0,3.0,0.556,0.927,10.601745777433985
3.0,4.0,0.534,0.921,11.759587514297401
3.0,5.0,0.545,0.922,13.031674739178237
